length,e_m,time,total configs,min energy configs
2,0,0.661784 ms,30,4
3,-1,0.739878 ms,150,4
4,-1,1.648437 ms,726,16
5,-2,7.330947 ms,3534,8
6,-2.292893219,47.083084 ms,16926,16
7,-3.585786438,185.274649 ms,81390,8
8,-3.456029926,861.253303 ms,387966,16
9,-4.326273414,4.195947 s,1853886,16
10,-4.869863326,20.022480 s,8809878,16
11,-5.806487042,1 min 38 s,41934150,8
12,-5.869483165,8 min 0 s,198842742,16
13,-6.948951265,38 min 12 s,943974510,8
14,-7.146293724,3 hr 6 min 36 s,4468911678,16

